Diff Chunks v1

rizin-imports-updater_service_onboarding | yandex_only_imports | updater_service_onboarding | evidence=38 | Yandex-only imports: updater_service_onboarding
rizin-imports-telemetry_metrics_abt | yandex_only_imports | telemetry_metrics_abt | evidence=24 | Yandex-only imports: telemetry_metrics_abt
rizin-imports-device_posture_browser_enforcement | yandex_only_imports | device_posture_browser_enforcement | evidence=9 | Yandex-only imports: device_posture_browser_enforcement
rizin-imports-passport_yandex_id_account | yandex_only_imports | passport_yandex_id_account | evidence=7 | Yandex-only imports: passport_yandex_id_account
rizin-imports-gost_crypto_security | yandex_only_imports | gost_crypto_security | evidence=25 | Yandex-only imports: gost_crypto_security
rizin-imports-enterprise_policy_and_prefs | yandex_only_imports | enterprise_policy_and_prefs | evidence=7 | Yandex-only imports: enterprise_policy_and_prefs
rizin-imports-ui_branding_ntp_smartbox | yandex_only_imports | ui_branding_ntp_smartbox | evidence=36 | Yandex-only imports: ui_branding_ntp_smartbox
rizin-imports-dlp_clipboard_drag_download_watermark | yandex_only_imports | dlp_clipboard_drag_download_watermark | evidence=1 | Yandex-only imports: dlp_clipboard_drag_download_watermark
rizin-imports-unknown | yandex_only_imports | unknown | evidence=20 | Yandex-only imports: unknown
rizin-imports-media_video_engine | yandex_only_imports | media_video_engine | evidence=5 | Yandex-only imports: media_video_engine
rizin-imports-crash_wer_internals | yandex_only_imports | crash_wer_internals | evidence=4 | Yandex-only imports: crash_wer_internals
rizin-imports-ai_alice_speechkit_yagpt | yandex_only_imports | ai_alice_speechkit_yagpt | evidence=220 | Yandex-only imports: ai_alice_speechkit_yagpt
rizin-yandex-only-exports | yandex_only_exports | widgets_flutter_bubbles | evidence=86 | Yandex-only browser.dll exports
browser-seed-network-mojom-networkservice-setyandexcustomheader | browser_seed | network_yandex_headers | evidence=1 | network::mojom::NetworkService::SetYandexCustomHeader
browser-seed-network-mojom-networkservice-setyandexnoreferersettingallowlist | browser_seed | network_yandex_headers | evidence=1 | network::mojom::NetworkService::SetYandexNoRefererSettingAllowlist
browser-seed-network-mojom-networkservice-setyandexextcorpbrowserheader | browser_seed | network_yandex_headers | evidence=1 | network::mojom::NetworkService::SetYandexExtCorpBrowserHeader
browser-seed-yandexcustomheader | browser_seed | network_yandex_headers | evidence=1 | YandexCustomHeader
browser-seed-yandexnoreferersettingallowlist | browser_seed | network_yandex_headers | evidence=1 | YandexNoRefererSettingAllowlist
browser-seed-yandexextcorpbrowserheader | browser_seed | network_yandex_headers | evidence=1 | YandexExtCorpBrowserHeader
browser-seed-yandex-common-drag-and-drop-js | browser_seed | dlp_clipboard_drag_download_watermark | evidence=1 | yandex/common/drag_and_drop.js
source-path-cluster-telemetry_metrics_abt | source_path_cluster | telemetry_metrics_abt | evidence=46 | Source path cluster: telemetry_metrics_abt
source-path-cluster-dlp_clipboard_drag_download_watermark | source_path_cluster | dlp_clipboard_drag_download_watermark | evidence=13 | Source path cluster: dlp_clipboard_drag_download_watermark
source-path-cluster-ui_branding_ntp_smartbox | source_path_cluster | ui_branding_ntp_smartbox | evidence=300 | Source path cluster: ui_branding_ntp_smartbox
source-path-cluster-gost_crypto_security | source_path_cluster | gost_crypto_security | evidence=300 | Source path cluster: gost_crypto_security
source-path-cluster-passport_yandex_id_account | source_path_cluster | passport_yandex_id_account | evidence=35 | Source path cluster: passport_yandex_id_account
source-path-cluster-enterprise_policy_and_prefs | source_path_cluster | enterprise_policy_and_prefs | evidence=72 | Source path cluster: enterprise_policy_and_prefs
source-path-cluster-updater_service_onboarding | source_path_cluster | updater_service_onboarding | evidence=41 | Source path cluster: updater_service_onboarding
source-path-cluster-widgets_flutter_bubbles | source_path_cluster | widgets_flutter_bubbles | evidence=224 | Source path cluster: widgets_flutter_bubbles
source-path-cluster-ai_alice_speechkit_yagpt | source_path_cluster | ai_alice_speechkit_yagpt | evidence=36 | Source path cluster: ai_alice_speechkit_yagpt
source-path-cluster-device_posture_browser_enforcement | source_path_cluster | device_posture_browser_enforcement | evidence=5 | Source path cluster: device_posture_browser_enforcement
source-path-cluster-media_video_engine | source_path_cluster | media_video_engine | evidence=14 | Source path cluster: media_video_engine
source-path-cluster-textclassifier_ocr_cv | source_path_cluster | textclassifier_ocr_cv | evidence=6 | Source path cluster: textclassifier_ocr_cv
